,bladder_1,breast_cancer_1,cervical_1,head n neck_1,KIRC_1,KIRP_1,LUAD_1,LUSC_1,PRAD_1,STAD_1,THCA_1,UCEC_1
bladder_2,0.8770224851804127,0.23246063685461113,0.28692169254905436,0.9580476592475284,0.5218468832652629,0.07668893061536508,0.6098225537758647,0.3107445916509743,0.8911791554206403,0.9603664945761784,0.2135047693620305,0.3455845929455993
breast_cancer_2,0.5915392157030965,0.9141139273269493,0.9325658286322751,0.45853056597336816,0.7693131053941396,0.7887957158904809,0.8453387722020173,0.9025443153215599,0.41955752179167355,0.46217232533463726,0.6423554494934945,0.8030758643964525
cervical_2,0.8527001981113813,0.7401715541545604,0.8917888556989959,0.7882021604946909,0.7711018266924122,0.5655558694359168,0.949928146901363,0.8580343621411889,0.7110417462670141,0.777592702449642,0.4280119284182689,0.719764720711846
head n neck_2,0.5438057282872324,0.7756850770078695,0.9177288195004835,0.41711610788944076,0.6447582679421083,0.6445088642606,0.8085411811899006,0.8731934378950301,0.36443341861419865,0.40140798268696654,0.406367871226265,0.6849104385629741
KIRC_2,0.4928517111237435,0.8682907279190617,0.8392292737243688,0.37077594503151456,0.8999528511968108,0.8327818217731231,0.7060681602527007,0.7561557857543312,0.4791953757547249,0.3934794567765623,0.6902804907545614,0.8343867206382283
KIRP_2,0.38087529162739897,0.543641279072987,0.3225854869836814,0.34123734317786814,0.8113382450623433,0.6054010944617505,0.323553182885985,0.3027545384744196,0.5623304197165061,0.3877666282513657,0.7007213448600922,0.6158650672646747
LUAD_2,0.8931460410983685,0.7566525465221092,0.8684588381228815,0.841946340860471,0.7993836556202095,0.5769523356500438,0.9670152360624907,0.8235477412853801,0.7616568721182777,0.8349328368071226,0.48401357756474006,0.7423089605861969
LUSC_2,0.6684127879839049,0.8705708805017279,0.914444031482954,0.510254290761506,0.6952521699613432,0.656489086110883,0.8661506075770375,0.9376872766184072,0.45100072095846155,0.49591899956783264,0.51656148449742,0.7914892989865906
PRAD_2,0.9063583244480616,0.29661801649929526,0.3547234187788305,0.9747785729630848,0.5702647191246285,0.12800313526320486,0.6738684948963878,0.37519966451618164,0.9155383522530747,0.9770784280155208,0.2546026161105502,0.40278665852492307
STAD_2,0.8930241969701291,0.34630726639993126,0.38402499118569494,0.9453926804117381,0.6170215159599824,0.17220957794673347,0.7088689170272813,0.4230140348958167,0.9300499797104447,0.9625788984231897,0.3524632297676435,0.47271317970329463
THCA_2,0.8686079110597266,0.7950694933725649,0.8088785007870668,0.8257452354661512,0.8848524499565439,0.6712534723100687,0.915070096195208,0.7947849689084386,0.777626941576197,0.8299694954244314,0.6541235352948508,0.7626281827479432
UCEC_2,0.8402346396047179,0.3880111139646088,0.38937369534762467,0.8702314902767926,0.7487433972053056,0.18224134107046414,0.6503877027364333,0.3936856573683754,0.9710700456409732,0.8853505873437285,0.34650922312042587,0.5404137592719175
