,bladder,breast_cancer,cervical,head n neck,KIRC,KIRP,LUAD,LUSC,PRAD,STAD,THCA,UCEC
bladder,1.0000000000000184,0.5995233582220337,0.6342956485240583,0.963368079536206,0.7254267400012179,0.342191743823629,0.8622494299435138,0.6904007594112944,0.8953097721414943,0.9571669452146326,0.40403140324513087,0.6552289083948503
breast_cancer,0.5995233582220337,0.9999999999999987,0.8178571999139501,0.4363470635626721,0.8192932101971295,0.7940811281027518,0.7610395421806028,0.8418047859882114,0.4515654754683285,0.4559068474004855,0.7813633857308752,0.8960391840492626
cervical,0.6342956485240583,0.8178571999139501,0.9999999999999808,0.5206504999947378,0.740528316008453,0.7504584314331212,0.8805494644290283,0.833314766448347,0.4782040370856834,0.5282483429722156,0.46099360134835954,0.8219488753966029
head n neck,0.963368079536206,0.4363470635626721,0.5206504999947378,0.9999999999999926,0.6590659705263097,0.24666200531862595,0.7909769146559905,0.5371575759259248,0.9174957402175931,0.9922087675826572,0.3095079613780934,0.5101165193446
KIRC,0.7254267400012179,0.8192932101971295,0.740528316008453,0.6590659705263097,1.000000000000013,0.7297226732800448,0.7780400680744268,0.7253421054210885,0.7584919678853124,0.686505892343228,0.761810529132093,0.8349487375448558
KIRP,0.342191743823629,0.7940811281027518,0.7504584314331212,0.24666200531862595,0.7297226732800448,1.0000000000000002,0.5361857082530156,0.618879922295146,0.23407414390420883,0.27126987153164045,0.7130861802971433,0.6970429692047382
LUAD,0.8622494299435138,0.7610395421806028,0.8805494644290283,0.7909769146559905,0.7780400680744268,0.5361857082530156,1.000000000000006,0.8324793929368873,0.7623567467618697,0.7910009082041035,0.47572160008559167,0.7853033934944319
LUSC,0.6904007594112944,0.8418047859882114,0.833314766448347,0.5371575759259248,0.7253421054210885,0.618879922295146,0.8324793929368873,1.0000000000000144,0.4853564578751489,0.5360821489188607,0.6451285955475337,0.7525779491635617
PRAD,0.8953097721414943,0.4515654754683285,0.4782040370856834,0.9174957402175931,0.7584919678853124,0.23407414390420883,0.7623567467618697,0.4853564578751489,1.000000000000006,0.92810189099288,0.38054584498154614,0.5944173828614969
STAD,0.9571669452146326,0.4559068474004855,0.5282483429722156,0.9922087675826572,0.686505892343228,0.27126987153164045,0.7910009082041035,0.5360821489188607,0.92810189099288,1.0000000000000082,0.35890538184002524,0.5476366413701266
THCA,0.40403140324513087,0.7813633857308752,0.46099360134835954,0.3095079613780934,0.761810529132093,0.7130861802971433,0.47572160008559167,0.6451285955475337,0.38054584498154614,0.35890538184002524,0.9999999999999956,0.6913137776522555
UCEC,0.6552289083948503,0.8960391840492626,0.8219488753966029,0.5101165193446,0.8349487375448558,0.6970429692047382,0.7853033934944319,0.7525779491635617,0.5944173828614969,0.5476366413701266,0.6913137776522555,1.0000000000000107
